         à          á          â          ã          ä          å          æ          ç          è          é          ê          ë          ì          í          î          ï          ð          ñ          ò          ó          ô          õ          ö          ÷          ø          ù          ú          û          ü          ý          þ          ÿ 
à 0.00023645 0.00152732 0.00502736 0.00160705 0.00275357 0.00189162 0.00184763 0.00432350 0.00131973 0.00099530 0.00629897 0.00732589 0.00501224 0.00656842 0.00133211 0.00237139 0.00307113 0.00686124 0.00629073 0.00054302 0.00013197 0.00117126 0.00010860 0.00120838 0.00164967 0.00042479 0.00000000 0.00000000 0.00000000 0.00036155 0.00105441 0.00239751 
á 0.00105029 0.00026945 0.00008523 0.00001925 0.00002887 0.00257073 0.00000825 0.00001237 0.00078084 0.00000000 0.00007973 0.00124550 0.00006736 0.00048803 0.00291441 0.00000825 0.00163179 0.00027357 0.00000550 0.00130736 0.00000000 0.00007561 0.00000825 0.00001237 0.00001375 0.00017047 0.00007423 0.00436474 0.00003574 0.00009761 0.00000137 0.00077947 
â 0.00716230 0.00017871 0.00040417 0.00019109 0.00050315 0.00731352 0.00006874 0.00069561 0.00372825 0.00000137 0.00061450 0.00131286 0.00041929 0.00179676 0.00895219 0.00084683 0.00124962 0.00329796 0.00068736 0.00101867 0.00000550 0.00009761 0.00005774 0.00021171 0.00095956 0.00001100 0.00000137 0.00307525 0.00025020 0.00034506 0.00001375 0.00059938 
ã 0.00102142 0.00008798 0.00007973 0.00001375 0.00146820 0.00043304 0.00000412 0.00003299 0.00070386 0.00000000 0.00017047 0.00181876 0.00004674 0.00040004 0.00949933 0.00008111 0.00142971 0.00015122 0.00003299 0.00068599 0.00000275 0.00000687 0.00000275 0.00006736 0.00000825 0.00000000 0.00000000 0.00000000 0.00000000 0.00000825 0.00000137 0.00001100 
ä 0.00530917 0.00007698 0.00103791 0.00027219 0.00015809 0.00528443 0.00025845 0.00005224 0.00374887 0.00000000 0.00055676 0.00109840 0.00016772 0.00217069 0.00498886 0.00024470 0.00122350 0.00088944 0.00017459 0.00219131 0.00000137 0.00005911 0.00017596 0.00014022 0.00010035 0.00000000 0.00001650 0.00061038 0.00075472 0.00003437 0.00001375 0.00036293 
å 0.00019246 0.00281818 0.00412691 0.00419977 0.00543840 0.00253499 0.00122213 0.00195348 0.00130599 0.00389734 0.00203321 0.00665228 0.00635259 0.01177174 0.00173077 0.00344093 0.00718155 0.00793902 0.00656155 0.00086333 0.00006736 0.00076572 0.00044953 0.00170328 0.00116989 0.00069836 0.00000000 0.00000000 0.00000000 0.00028594 0.00023095 0.00043854 
æ 0.00153831 0.00007973 0.00006874 0.00001512 0.00105441 0.00448159 0.00001100 0.00001375 0.00169641 0.00000000 0.00011273 0.00002612 0.00004124 0.00114102 0.00019933 0.00005774 0.00001237 0.00008386 0.00003849 0.00025570 0.00000000 0.00000137 0.00000000 0.00007423 0.00000000 0.00000000 0.00000000 0.00000000 0.00008248 0.00000687 0.00000000 0.00001925 
ç 0.00557312 0.00028594 0.00123450 0.00045778 0.00084683 0.00042066 0.00004812 0.00012510 0.00048665 0.00000000 0.00027494 0.00035193 0.00051827 0.00202771 0.00086195 0.00014710 0.00064199 0.00019659 0.00010860 0.00049765 0.00000825 0.00001100 0.00001925 0.00003437 0.00001375 0.00000000 0.00002062 0.00054164 0.00009898 0.00003574 0.00000137 0.00026257 
è 0.00040829 0.00174040 0.00493525 0.00082896 0.00224355 0.00346980 0.00043304 0.00314124 0.00216656 0.00124687 0.00339006 0.00619450 0.00415716 0.00600066 0.00150532 0.00226004 0.00124412 0.00503561 0.00649006 0.00060763 0.00013885 0.00230266 0.00089494 0.00174040 0.00085508 0.00030244 0.00000000 0.00000000 0.00000000 0.00043441 0.00049078 0.00229304 
é 0.00013472 0.00034918 0.00091144 0.00029694 0.00075885 0.00017596 0.00023370 0.00023920 0.00070111 0.00000412 0.00076022 0.00034780 0.00107778 0.00114102 0.00060350 0.00107503 0.00039317 0.00170191 0.00078222 0.00023233 0.00014847 0.00009623 0.00015122 0.00052239 0.00030656 0.00000825 0.00000000 0.00000000 0.00000000 0.00007423 0.00006186 0.00010310 
ê 0.00736851 0.00025157 0.00062137 0.00010310 0.00018559 0.00067499 0.00023095 0.00011135 0.00285530 0.00000000 0.00033818 0.00102967 0.00020208 0.00091007 0.01071321 0.00037392 0.00186550 0.00049765 0.00090594 0.00154381 0.00000962 0.00004674 0.00001375 0.00016497 0.00004124 0.00000412 0.00000000 0.00000000 0.00000000 0.00052789 0.00001237 0.00008936 
ë 0.00854802 0.00037667 0.00056639 0.00030244 0.00030794 0.00603640 0.00053614 0.00015259 0.00888070 0.00000000 0.00051964 0.00024470 0.00022545 0.00084683 0.00684611 0.00063787 0.00036155 0.00157406 0.00028457 0.00212807 0.00002337 0.00003712 0.00000962 0.00032993 0.00002612 0.00000137 0.00000000 0.00064199 0.00469742 0.00006736 0.00120976 0.00192049 
ì 0.00247587 0.00037942 0.00108878 0.00027632 0.00054027 0.00475104 0.00013335 0.00026120 0.00431388 0.00000000 0.00092244 0.00040417 0.00042891 0.00265596 0.00554288 0.00109565 0.00037667 0.00131286 0.00042616 0.00287592 0.00002887 0.00008111 0.00005086 0.00041517 0.00005774 0.00002474 0.00000000 0.00104754 0.00005636 0.00030794 0.00001925 0.00078084 
í 0.01071733 0.00028732 0.00040692 0.00051415 0.00171290 0.01078882 0.00010035 0.00012235 0.00977839 0.00000000 0.00039729 0.00005086 0.00013472 0.00408155 0.01163014 0.00043029 0.00024195 0.00097055 0.00065299 0.00257485 0.00001512 0.00003987 0.00028869 0.00027219 0.00002612 0.00018696 0.00000000 0.00440736 0.00069286 0.00004399 0.00016909 0.00169778 
