         à          á          â          ã          ä          å          æ          ç          è          é          ê          ë          ì          í          î          ï          ð          ñ          ò          ó          ô          õ          ö          ÷          ø          ù          ú          û          ü          ý          þ          ÿ 
à 0.00023095 0.00151219 0.00490776 0.00162217 0.00276869 0.00196585 0.00187787 0.00424789 0.00130599 0.00101454 0.00620549 0.00721179 0.00500949 0.00652993 0.00130049 0.00232053 0.00306563 0.00686261 0.00638696 0.00053339 0.00013197 0.00120701 0.00010448 0.00116301 0.00169916 0.00040967 0.00000000 0.00000000 0.00000000 0.00036568 0.00103379 0.00237277 
á 0.00101180 0.00028594 0.00007698 0.00002200 0.00002474 0.00262022 0.00000275 0.00001100 0.00081658 0.00000000 0.00006599 0.00129224 0.00006874 0.00047840 0.00287317 0.00000825 0.00155344 0.00026945 0.00000550 0.00140222 0.00000000 0.00007423 0.00001375 0.00000825 0.00001375 0.00016772 0.00010448 0.00434962 0.00003849 0.00009898 0.00000275 0.00083858 
â 0.00715955 0.00014297 0.00040967 0.00020896 0.00052239 0.00717330 0.00007973 0.00071760 0.00381898 0.00000275 0.00061862 0.00136372 0.00045641 0.00186137 0.00888345 0.00085233 0.00123450 0.00334607 0.00075060 0.00103379 0.00000825 0.00011823 0.00006049 0.00019521 0.00097330 0.00001100 0.00000000 0.00306288 0.00024745 0.00031069 0.00001650 0.00062137 
ã 0.00105579 0.00007973 0.00008248 0.00001375 0.00141871 0.00043716 0.00000825 0.00002749 0.00067361 0.00000000 0.00017321 0.00180638 0.00005774 0.00035468 0.00930412 0.00007423 0.00143796 0.00015122 0.00003299 0.00070386 0.00000275 0.00000550 0.00000275 0.00006049 0.00001375 0.00000000 0.00000000 0.00000000 0.00000000 0.00000825 0.00000275 0.00001375 
ä 0.00541915 0.00007973 0.00105029 0.00028869 0.00015947 0.00537516 0.00029969 0.00005774 0.00366226 0.00000000 0.00057738 0.00106953 0.00016497 0.00210882 0.00502048 0.00023370 0.00131698 0.00095681 0.00016222 0.00223530 0.00000275 0.00006874 0.00020071 0.00014572 0.00008523 0.00000000 0.00001650 0.00066537 0.00081933 0.00003299 0.00001100 0.00036293 
å 0.00021446 0.00271645 0.00415166 0.00430838 0.00532292 0.00246625 0.00123175 0.00197135 0.00128674 0.00390696 0.00196585 0.00654642 0.00627698 0.01164389 0.00170465 0.00350554 0.00717880 0.00790190 0.00663441 0.00079459 0.00006324 0.00074785 0.00047290 0.00166891 0.00118776 0.00064887 0.00000000 0.00000000 0.00000000 0.00028319 0.00023920 0.00047840 
æ 0.00154519 0.00007149 0.00006599 0.00001100 0.00100080 0.00456683 0.00000825 0.00000825 0.00161942 0.00000000 0.00010723 0.00002474 0.00004399 0.00112727 0.00018971 0.00006599 0.00000550 0.00009623 0.00004399 0.00024195 0.00000000 0.00000000 0.00000000 0.00006874 0.00000000 0.00000000 0.00000000 0.00000000 0.00008523 0.00000550 0.00000000 0.00001650 
ç 0.00558412 0.00033268 0.00129224 0.00045641 0.00089082 0.00038767 0.00003574 0.00012098 0.00047565 0.00000000 0.00027219 0.00037117 0.00050590 0.00203734 0.00091282 0.00014022 0.00062962 0.00021721 0.00008523 0.00050590 0.00001100 0.00001375 0.00001100 0.00002749 0.00000825 0.00000000 0.00001650 0.00054164 0.00010998 0.00003299 0.00000000 0.00026395 
è 0.00035468 0.00175689 0.00499024 0.00089082 0.00224080 0.00345055 0.00041792 0.00309862 0.00219681 0.00121800 0.00337357 0.00621924 0.00423414 0.00596904 0.00153144 0.00229579 0.00126474 0.00499849 0.00632097 0.00059113 0.00013472 0.00237277 0.00086607 0.00171565 0.00082483 0.00032168 0.00000000 0.00000000 0.00000000 0.00045641 0.00045641 0.00225179 
é 0.00012372 0.00034918 0.00094031 0.00031344 0.00072035 0.00017596 0.00022545 0.00025845 0.00067636 0.00000550 0.00074785 0.00039592 0.00108328 0.00107228 0.00063237 0.00108603 0.00040967 0.00173215 0.00081384 0.00019796 0.00011273 0.00008798 0.00013747 0.00050865 0.00028319 0.00000550 0.00000000 0.00000000 0.00000000 0.00007423 0.00004949 0.00010998 
ê 0.00754997 0.00024470 0.00056364 0.00008248 0.00016222 0.00067086 0.00022270 0.00011823 0.00284842 0.00000000 0.00034368 0.00103929 0.00020896 0.00093756 0.01089329 0.00036018 0.00189437 0.00051690 0.00093756 0.00153144 0.00001100 0.00005499 0.00001650 0.00013197 0.00003574 0.00000275 0.00000000 0.00000000 0.00000000 0.00056639 0.00001375 0.00009898 
ë 0.00849578 0.00035193 0.00055814 0.00032718 0.00029969 0.00611476 0.00053889 0.00014572 0.00903192 0.00000000 0.00056364 0.00021721 0.00022545 0.00090182 0.00677463 0.00062412 0.00034368 0.00159743 0.00024745 0.00210057 0.00002749 0.00003299 0.00000275 0.00030519 0.00002474 0.00000275 0.00000000 0.00062137 0.00480053 0.00008248 0.00119601 0.00194936 
ì 0.00254323 0.00038217 0.00108328 0.00028594 0.00055264 0.00472079 0.00012372 0.00024470 0.00434137 0.00000000 0.00088807 0.00040692 0.00043441 0.00265871 0.00544665 0.00111627 0.00035743 0.00132248 0.00043441 0.00289241 0.00002749 0.00007973 0.00006599 0.00042066 0.00005499 0.00002200 0.00000000 0.00106403 0.00007149 0.00031344 0.00002200 0.00073685 
í 0.01072833 0.00025845 0.00039867 0.00051690 0.00162492 0.01087680 0.00010173 0.00013472 0.00988700 0.00000000 0.00039867 0.00006049 0.00012647 0.00421765 0.01148992 0.00042066 0.00024195 0.00096780 0.00062412 0.00261472 0.00001925 0.00003574 0.00027769 0.00026670 0.00001925 0.00020621 0.00000000 0.00444035 0.00065712 0.00005224 0.00018146 0.00166616 
